serialNum;Тип организации;Разряд;Название УГМС;StationName;Реперная/Вековая станция;Синоптический индекс станции;Общероссийский координатный номер метеорологического пункта;Общероссийский номер гидрологического пункта;Общероссийский номер агрометеорологического пункта;Широта;Долгота;Разность между поясным и московским временем;Территориальный код станции;Филиал(ЦГМС);Статус сетей: климатическая (метеорологическая);Признак проведения радиолокационных наблюдений;Признак проведения аэрологических наблюдений;Статус сетей: гидрологическая;Статус сетей: морская;Статус сетей: агрометеорологическая;Признак проведения специальных гидрометеорологических наблюдений;Признак проведения геофизических наблюдений;Признак проведения гелиофизических наблюдений;Признак проведения наблюдений за загрязнениями;Станция законсервирована (0 не законсервирована, 1 законсервирована);Дата закрытия
1029;Гидрологический пост;2;ФГБУ Центральное УГМС;СОЛОВЬЕВО - Р.ДНЕПР;0;79008;;79008;;54.93;32.71;;167;Смоленский ЦГМС;1;0;0;3;0;0;0;0;0;0;;9999-12-31 00:00:00
4577;Метеорологическая станция;2;ФГБУ Забайкальское УГМС;СОЛОВЬЕВСК;0;30967;4991581;;;49.90;115.75;;175;Отсутствует;3;0;0;0;0;0;0;0;0;0;;9999-12-31 00:00:00
4691;Гидрологический пост;1;ФГБУ Забайкальское УГМС;СОЛОВЬЕВСК-р.Ульдза-Гол - Р.УЛЬДЗА-ГОЛ;1;06528;;06528;;49.90;115.68;;175;Отсутствует;0;0;0;2;0;0;0;0;0;1;;9999-12-31 00:00:00
340;Озерный гидрометеорологический пост;2;ФГБУ Центральное УГМС;СОЛОДОВО - BДХР.РУЗСКОЕ;0;75974;5550035550;75974;;55.83;35.92;;150;Отсутствует;1;0;0;3;0;0;0;0;0;1;;9999-12-31 00:00:00
702;Морской гидрометеорологический пост;2;ФГБУ Северное УГМС;СОЛОМБАЛА;2;70822;;;;64.58;40.50;;129;Отсутствует;0;0;0;0;2;0;0;0;0;1;;9999-12-31 00:00:00
3498;Метеорологическая станция;2;ФГБУ Западно-Сибирское УГМС;Солонешное;1;36045;5178430;;;51.38;84.20;;;Алтайский ЦГМС;2;0;0;0;0;0;0;0;0;1;;
4152;Пристанционный гидрологический пост;1;ФГБУ Западно-Сибирское УГМС;Солонешное (ГП при Солонешное М) - р. Ануй;0;10120;;10120;;51.67;84.30;;;Алтайский ЦГМС;0;0;0;2;0;0;0;0;0;1;;
8281;Гидрологический пост;1;ФГБУ Центрально-Черноземное УГМС;СОЛОНЦЫ - БАЛКА СОЛОНЦЫ;0;78116;;78116;;51.00;40.07;;136;Воронежский ЦГМС;1;0;0;3;0;0;0;0;0;0;;9999-12-31 00:00:00
8382;Автоматическая гидрометеорол. необслуживаемая наземная станция;0;ФГБУ СЦГМС ЧАМ;СОЛОХ-АУЛ;0;37092;4383960;;;43.79377777777778;39.638305555555554;;123;СЦГМС ЧАМ;3;0;0;0;0;0;0;0;0;0;;9999-12-31 00:00:00
2516;Гидрологический пост;1;ФГБУ СЦГМС ЧАМ;СОЛОХ-АУЛ - Р.ШАХЕ;0;82026;4348039390;82026;;43.80;39.65;;123;СЦГМС ЧАМ;1;0;0;2;0;0;1;0;0;1;;
